City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
261,kroya,60,ID,1581184250,92,-7.63,109.25,75.0,2.91
262,maniitsoq,100,GL,1581184250,93,65.42,-52.9,7.36,22.26
263,leirvik,20,NO,1581184250,87,59.78,5.5,43.0,11.41
264,fleetwood,75,GB,1581184250,70,53.93,-3.01,48.99,23.04
265,da nang,40,VN,1581184003,78,16.07,108.22,75.2,6.93
266,ranong,2,TH,1581184145,81,9.97,98.63,75.6,4.14
267,manacapuru,75,BR,1581184055,62,-3.3,-60.62,87.8,4.7
268,palu,100,ID,1581184250,88,-0.89,119.87,68.04,1.45
269,xinzhou,0,CN,1581184250,47,38.41,112.73,26.15,5.68
270,ferreira do alentejo,75,PT,1581184250,72,38.05,-8.03,60.8,5.82
271,saint-francois,84,FR,1581184250,70,46.42,3.91,48.2,2.24
272,ukiah,1,US,1581184250,81,39.15,-123.21,55.99,5.84
273,coquimbo,20,CL,1581184250,68,-29.95,-71.34,68.0,11.41
274,vizinga,100,RU,1581184250,96,61.07,50.1,2.82,4.21
275,sinnamary,42,GF,1581184038,77,5.38,-52.95,79.81,17.05
276,gorontalo,96,ID,1581184251,92,0.54,123.06,73.26,3.87
277,vestmanna,79,FO,1581184251,86,62.16,-7.17,33.8,17.22
278,havelock,1,US,1581184180,42,34.88,-76.9,50.0,6.93
279,cockburn town,17,TC,1581184251,79,21.46,-71.14,78.76,21.23
280,olinda,40,BR,1581184251,70,-8.01,-34.86,86.0,10.29
281,bowen,40,AU,1581184251,94,-20.02,148.23,81.0,4.7
282,basco,59,PH,1581184251,76,20.45,121.97,69.57,29.75
283,harper,33,LR,1581184251,75,4.38,-7.72,82.35,6.76
284,okhotsk,98,RU,1581184251,87,59.38,143.3,-8.79,7.94
285,vrangel,0,RU,1581184251,55,42.73,133.08,14.95,15.26
286,cap malheureux,75,MU,1581184251,83,-19.98,57.61,78.8,9.17
287,niteroi,20,BR,1581184251,70,-22.88,-43.1,95.0,11.41
288,baculin,100,PH,1581184251,93,7.45,126.58,69.85,4.05
289,along,30,IN,1581184251,66,28.17,94.77,51.22,4.68
290,kavieng,100,PG,1581184251,74,-2.57,150.8,83.17,10.0
291,kenai,90,US,1581184251,97,60.55,-151.26,33.01,6.93
292,alappuzha,70,IN,1581184251,88,9.49,76.33,73.0,2.68
293,lagoa,100,PT,1581184251,86,39.05,-27.98,63.32,21.5
294,aginskoye,24,RU,1581184251,83,51.1,114.53,11.82,13.69
295,goderich,61,CA,1581184251,65,43.75,-81.72,23.0,4.99
296,lorengau,98,PG,1581184251,76,-2.02,147.27,82.76,13.69
297,longyearbyen,75,SJ,1581184251,85,78.22,15.64,21.2,2.24
298,pitanga,11,BR,1581184251,91,-24.76,-51.76,76.26,2.33
299,muisne,75,EC,1581184117,88,0.6,-80.03,78.8,3.36
300,griffith,90,US,1581184251,64,41.53,-87.42,37.0,3.33
301,hadejia,0,NG,1581184251,16,12.45,10.04,79.23,11.03
302,shimoda,90,JP,1581184251,72,34.67,138.95,37.99,3.0
303,nioro,15,GM,1581184251,4,13.35,-15.75,97.63,9.91
304,vanimo,94,PG,1581184251,82,-2.67,141.3,81.23,16.46
305,otjimbingwe,0,NA,1581184252,34,-22.35,16.13,74.07,11.01
306,rio grande,40,BR,1581184252,47,-32.03,-52.1,95.0,16.11
307,taian,0,CN,1581184252,77,36.19,117.12,39.0,3.24
308,beringovskiy,81,RU,1581184252,94,63.05,179.32,-17.99,17.96
309,stornoway,100,GB,1581184252,100,58.21,-6.39,35.01,16.11
310,wundanyi,24,KE,1581184252,67,-3.4,38.36,74.41,4.36
311,carbondale,90,US,1581184252,74,37.73,-89.22,37.4,11.41
312,monrovia,20,LR,1581184252,62,6.3,-10.8,89.6,11.41
313,vao,10,NC,1581184252,85,-22.67,167.48,80.02,21.94
314,sharan,100,RU,1581184252,100,54.82,54.0,-6.61,7.94
315,grindavik,75,IS,1581184252,74,63.84,-22.43,35.6,13.87
316,zaykovo,100,RU,1581184252,95,57.56,62.76,6.85,7.43
317,les cayes,0,HT,1581184252,66,18.2,-73.75,80.47,8.48
318,yerbogachen,69,RU,1581184252,99,61.28,108.01,-3.28,4.56
319,taikang,85,CN,1581184252,95,46.83,124.42,1.4,12.24
320,bethanien,0,NA,1581184252,38,-26.5,17.16,70.86,20.42
321,gejiu,61,CN,1581184252,95,23.31,103.16,51.12,2.8
322,cabo san lucas,40,MX,1581184169,49,22.89,-109.91,75.0,6.93
323,oum hadjer,60,TD,1581184252,15,13.3,19.7,84.2,12.68
324,labuhan,97,ID,1581184139,90,-6.88,112.21,75.76,2.62
325,ilulissat,75,GL,1581184033,71,69.22,-51.1,6.8,5.82
326,caraquet,75,CA,1581184237,72,47.79,-64.94,21.0,12.75
327,kahului,75,US,1581184252,82,20.89,-156.47,66.2,11.41
328,flin flon,90,CA,1581184252,84,54.77,-101.86,8.6,2.24
329,ratodero,0,PK,1581184252,23,27.8,68.29,60.08,2.21
330,naini tal,0,IN,1581184032,68,29.4,79.45,38.93,4.09
331,mangalam,40,IN,1581184252,69,9.77,78.67,80.6,3.36
